"Orden","OS Dominante","Producto","Doble Modem","OMS E.","E. Saydot","Cod. Tec","Fac. OK ","Estado","Sin Datos","Relacionadas","Datos B_O","Error Captura","Error Subida","Diagnostico"
"184252797","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184252795 - RG - ADSL : DE,184252794 - RG - PSTN : DO,184252797 - MCTV - IPTV : DE,184252796 - MCTV - DTH : DE,","NO","","","Quitese no capturado"
"183963831","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","183963830 - RG - ADSL : DE,183963828 - RG - PSTN : DO,183963831 - MCTV - IPTV : DE,","NO","","","Quitese no capturado"
"183284698","","PSTN","","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183284698 - R001 - PSTN : DE,183284697 - MCTV - IPTV : DE,","NO","","","Quitese no capturado"
"183284697","","IPTV","","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183284698 - R001 - PSTN : DE,183284697 - MCTV - IPTV : DE,","NO","","","Quitese no capturado"
"183749219","","IPTV","","DE","NotFound","","NO","Completadas_Canceladas_y_en_proceso","NO","183749210 - RG - ADSL : DE,183749218 - MCTV - DTH : CA,183749213 - RG - PSTN : DO,183749219 - MCTV - IPTV : DE,","NO","","","Quitese no capturado"
"184002432","","ADSL","","DE","NotFound","","NO","Completadas_Canceladas_y_en_proceso","NO","184002430 - RG - PSTN : DO,184002436 - RG - IPTV : DE,184002441 - MDTV - PSTN : CA,184002432 - RG - ADSL : DE,","NO","","","Quitese no capturado"
"184002436","","IPTV","","DE","NotFound","","NO","Completadas_Canceladas_y_en_proceso","NO","184002430 - RG - PSTN : DO,184002436 - RG - IPTV : DE,184002441 - MDTV - PSTN : CA,184002432 - RG - ADSL : DE,","NO","","","Quitese no capturado"
"184061330","","ADSL","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184061331 - MDTV - IPTV : DO,184061330 - MDTV - ADSL : DE,184061332 - MDTV - VSIP : DO,","NO","","","Quitese no capturado"
"184107510","","ADSL","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184107510 - MVIP - ADSL : DE,184107511 - MVIP - VSIP : DO,","NO","","","Quitese no capturado"
"184213757","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184213758 - MVIP - VSIP : DO,184213756 - MVIP - ADSL : DO,184213757 - MVIP - IPTV : DE,","NO","","","Quitese no capturado"
"183948815","","IPTV","","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183948816 - MVIP - VSIP : DE,183948815 - MVIP - IPTV : DE,183948814 - MVIP - ADSL : DE,","NO","","","Quitese no capturado"
"184052025","","ADSL","","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184052024 - R001 - PSTN : DE,184052025 - MVIP - ADSL : DE,","NO","","","Quitese no capturado"
"183886909","","ADSL","","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183886909 - MDTV - ADSL : DE,183886910 - MDTV - PSTN : DE,","NO","","","Quitese no capturado"
